polish,english,category,example_pl,example_en,accepted_answers,frequency_rank
przyniosłem,brought to you by,misc,Słowo: przyniosłem.,Word: brought.,"[""brought to you by""]",349
miejscem,place,misc,Słowo: miejscem.,Word: place.,"[""place""]",350
chłopaków,guys,misc,Słowo: chłopaków.,Word: guys.,"[""guys""]",351
czek,check,noun,Widzę czek tutaj.,I see the check here.,"[""check""]",352
kłopot,hassle,misc,Słowo: kłopot.,The word: trouble.,"[""hassle""]",353
wolisz,prefer,misc,Słowo: wolisz.,Word: prefer.,"[""prefer""]",354
spodziewałem,expected,misc,Słowo: spodziewałem.,Word: expected.,"[""expected""]",355
zrozumiesz,understand,misc,Słowo: zrozumiesz.,Word: you will understand.,"[""understand""]",356
babci,grandmother,misc,Słowo: babci.,Word: grandmother.,"[""grandmother""]",357
zaproszenie,invitation,noun,To jest zaproszenie.,This is an invitation.,"[""invitation""]",358
major,Major,misc,Słowo: major.,Word: major.,"[""major""]",359
czekasz,you wait,misc,Słowo: czekasz.,Word: you wait.,"[""you wait""]",360
umowy,contracts,adjective,To jest bardzo umowy.,This is very much an agreement.,"[""contracts""]",361
ucieczki,escapes,misc,Słowo: ucieczki.,The word: escapes.,"[""escapes""]",362
pożyczyć,borrow,verb,Muszę pożyczyć dzisiaj.,I need to borrow today.,"[""borrow""]",363
siedzę,I'm sitting,misc,Słowo: siedzę.,Word: sitting.,"[""i'm sitting""]",364
braci,brothers,misc,Słowo: braci.,Word: brothers.,"[""brothers""]",365
zrozum,understand,misc,Słowo: zrozum.,Word: understand.,"[""understand""]",366
barry,barry,misc,Słowo: barry.,Word: barry.,"[""barry""]",367
zechce,would like to,misc,Słowo: zechce.,Word: will.,"[""would like to""]",368
nadejdzie,coming,misc,Słowo: nadejdzie.,Word: it will come.,"[""coming""]",369
zapewnić,provide,verb,Muszę zapewnić dzisiaj.,I have to provide today.,"[""provide""]",370
hm,hm,misc,Słowo: hm.,Word: hm.,"[""hm""]",371
głupio,foolishly,misc,Słowo: głupio.,Word: stupid.,"[""foolishly""]",372
podnieść,boost,misc,Słowo: podnieść.,Word: raise.,"[""boost""]",373
pachnie,smells,adverb,Mówię pachnie po polsku.,I say smells in Polish.,"[""smells""]",374
nate,nate,misc,Słowo: nate.,Word: nate.,"[""nate""]",375
nauczyłem,I taught,misc,Słowo: nauczyłem.,Word: taught.,"[""i taught""]",376
nastroju,mood,misc,Słowo: nastroju.,The word: mood.,"[""mood""]",377
konie,horses,adverb,Mówię konie po polsku.,I speak horses in Polish.,"[""horses""]",378
wiedząc,knowing,misc,Słowo: wiedząc.,Word: knowing.,"[""knowing""]",379
testy,tests,misc,Słowo: testy.,The word: tests.,"[""tests""]",380
wygrał,won,misc,Słowo: wygrał.,Word: he won.,"[""won""]",381
vince,vince,misc,Słowo: vince.,Word: vince.,"[""vince""]",382
niesamowity,amazing,misc,Słowo: niesamowity.,The word: amazing.,"[""amazing""]",383
poczuć,feel,misc,Słowo: poczuć.,The word: feel.,"[""feel""]",384
długie,long,misc,Słowo: długie.,Word: long.,"[""long""]",385
kota,cat,misc,Słowo: kota.,The word: cat.,"[""cat""]",386
poszukać,look up,verb,Lubię poszukać.,I like to search.,"[""look up""]",387
zajęło,took,misc,Słowo: zajęło.,Word: it took.,"[""took""]",388
wieki,ages,misc,Słowo: wieki.,Word: centuries.,"[""ages""]",389
zapytam,ask,misc,Słowo: zapytam.,Word: ask.,"[""ask""]",390
torbę,bag,misc,Słowo: torbę.,The word: bag.,"[""bag""]",391
dołączyć,attach,verb,Muszę dołączyć dzisiaj.,I have to join today.,"[""attach""]",392
agenta,agent,misc,Słowo: agenta.,The word: agent.,"[""agent""]",393
śmierdzi,stinks,misc,Słowo: śmierdzi.,The word: stinks.,"[""stinks""]",394
porozmawiajmy,let's talk,misc,Słowo: porozmawiajmy.,Word: let's talk.,"[""let's talk""]",395
szacunek,respect,noun,Widzę szacunek tutaj.,I see the respect here.,"[""respect""]",396
zapewniam,I assure,misc,Słowo: zapewniam.,Word: assure.,"[""i assure""]",397
taak,yeah,misc,Słowo: taak.,Word: yeah.,"[""yeah""]",398
cholerne,damn,adjective,To jest bardzo cholerne.,This is very damning.,"[""damn""]",399
kochałem,loved,misc,Słowo: kochałem.,Word: loved.,"[""loved""]",400
mordercą,murderer,misc,Słowo: mordercą.,The word: murderer.,"[""murderer""]",401
but,boot,misc,Słowo: but.,Word: shoe.,"[""boot""]",402
grze,game,adverb,Mówię grze po polsku.,I speak the game in Polish.,"[""game""]",403
ważniejsze,more important,misc,Słowo: ważniejsze.,Word: more important.,"[""more important""]",404
jeździć,ride,verb,Muszę jeździć dzisiaj.,I have to ride today.,"[""ride""]",405
sprawdziłem,I checked,misc,Słowo: sprawdziłem.,Word: checked.,"[""i checked""]",406
lotnisko,airport,noun,Widzę lotnisko tutaj.,I can see the airport here.,"[""airport""]",407
angielsku,English,misc,Słowo: angielsku.,Word: English.,"[""english""]",408
panienko,Miss,noun,Widzę panienko tutaj.,I see a miss here.,"[""miss""]",409
obiecałem,promised,misc,Słowo: obiecałem.,Word: promised.,"[""promised""]",410
podjąć,take up,verb,Lubię podjąć.,I like to take up.,"[""take up""]",411
potrzebowała,needed,misc,Słowo: potrzebowała.,The word: needed.,"[""needed""]",412
pełną,full,misc,Słowo: pełną.,Word: full.,"[""full""]",413
śladu,trace,misc,Słowo: śladu.,The word: trail.,"[""trace""]",414
mac,mac,misc,Słowo: mac.,Word: mac.,"[""mac""]",415
lody,ice cream,misc,Słowo: lody.,The word: ice cream.,"[""ice cream""]",416
dzwoniła,called,misc,Słowo: dzwoniła.,Word: she called.,"[""called""]",417
walczył,fought,misc,Słowo: walczył.,The word: fought.,"[""fought""]",418
obaw,concerns,misc,Słowo: obaw.,Word: concerns.,"[""concerns""]",419
nauki,sciences,misc,Słowo: nauki.,Word: sciences.,"[""sciences""]",420
mleko,milk,noun,To jest mleko.,This is milk.,"[""milk""]",421
powodem,reason,misc,Słowo: powodem.,Word: reason.,"[""reason""]",422
prowadzę,I run,misc,Słowo: prowadzę.,Word: leading.,"[""i run""]",423
pewną,certain,misc,Słowo: pewną.,Word: certain.,"[""certain""]",424
dłoń,hand,misc,Słowo: dłoń.,Word: palm.,"[""hand""]",425
zdolności,capabilities,misc,Słowo: zdolności.,Word: capabilities.,"[""capabilities""]",426
choroby,diseases,misc,Słowo: choroby.,Word: diseases.,"[""diseases""]",427
głodu,hunger,misc,Słowo: głodu.,The word: famine.,"[""hunger""]",428
kradzież,theft,misc,Słowo: kradzież.,The word: theft.,"[""theft""]",429
żywo,vividly,misc,Słowo: żywo.,Word: live.,"[""vividly""]",430
wrogów,enemies,misc,Słowo: wrogów.,Word: enemies.,"[""enemies""]",431
przyszli,future,misc,Słowo: przyszli.,The word: they came.,"[""future""]",432
wypuść,release,misc,Słowo: wypuść.,The word: let go.,"[""release""]",433
radzę,advise,misc,Słowo: radzę.,Word: advise.,"[""advise""]",434
zróbcie,do,noun,To jest zróbcie.,It's a do-over.,"[""do""]",435
śpisz,sleep,misc,Słowo: śpisz.,Word: sleep.,"[""sleep""]",436
małżeństwa,marriages,adjective,To jest bardzo małżeństwa.,It is very much a marriage.,"[""marriages""]",437
kluczyki,keys,misc,Słowo: kluczyki.,The word: keys.,"[""keys""]",438
wyspie,island,misc,Słowo: wyspie.,Word: island.,"[""island""]",439
miałabym,I would have,misc,Słowo: miałabym.,Word: would have.,"[""i would have""]",440
fajny,cool,adjective,To jest bardzo fajny.,This is very cool.,"[""cool""]",441
pomóżcie,help,noun,Widzę pomóżcie tutaj.,I see help here.,"[""help""]",442
wyrzucić,expel,verb,Muszę wyrzucić dzisiaj.,I have to throw away today.,"[""expel""]",443
słyszeliście,have you heard,noun,To jest słyszeliście.,This is heard.,"[""have you heard""]",444
katie,katie,misc,Słowo: katie.,Word: katie.,"[""katie""]",445
gazety,newspapers,misc,Słowo: gazety.,The word: newspapers.,"[""newspapers""]",446
wybrał,selected,misc,Słowo: wybrał.,Word: selected.,"[""selected""]",447
procent,percentage,misc,Słowo: procent.,Word: percentage.,"[""percentage""]",448
gorąca,hot,misc,Słowo: gorąca.,The word: hot.,"[""hot""]",449
wychodzimy,go out,misc,Słowo: wychodzimy.,The word: out.,"[""go out""]",450
płacz,cry,misc,Słowo: płacz.,The word: crying.,"[""cry""]",451
idioto,idiot,misc,Słowo: idioto.,Word: idiot.,"[""idiot""]",452
zeby,so that,misc,Słowo: zeby.,Word: zeby.,"[""so that""]",453
podejrzanego,suspect,misc,Słowo: podejrzanego.,Word: suspect.,"[""suspect""]",454
pokaże,will show,misc,Słowo: pokaże.,Word: it will show.,"[""will show""]",455
ofertę,offer,misc,Słowo: ofertę.,Word: offer.,"[""offer""]",456
charlotte,charlotte,misc,Słowo: charlotte.,Word: charlotte.,"[""charlotte""]",457
powiedzcie,say,noun,To jest powiedzcie.,That is to say.,"[""say""]",458
dłoni,hands,misc,Słowo: dłoni.,Word: hands.,"[""hands""]",459
największy,greatest,misc,Słowo: największy.,Word: biggest.,"[""greatest""]",460
środki,measures,misc,Słowo: środki.,Word: resources.,"[""measures""]",461
wydać,issue,verb,Lubię wydać.,I like to spend.,"[""issue""]",462
dałam,I gave,misc,Słowo: dałam.,Word: I gave.,"[""i gave""]",463
źródła,sources,misc,Słowo: źródła.,Word: sources.,"[""sources""]",464
miłością,with love,misc,Słowo: miłością.,The word: love.,"[""with love""]",465
zwykły,ordinary,misc,Słowo: zwykły.,Word: ordinary.,"[""ordinary""]",466
grane,played,adjective,To jest bardzo grane.,This is very much in play.,"[""played""]",467
bombę,bomb,misc,Słowo: bombę.,The word: bomb.,"[""bomb""]",468
wyrok,judgment,misc,Słowo: wyrok.,The word: judgment.,"[""judgment""]",469
pociągu,train,misc,Słowo: pociągu.,The word: train.,"[""train""]",470
próbowała,she tried,misc,Słowo: próbowała.,Word: she tried.,"[""she tried""]",471
zostaniemy,we will stay,misc,Słowo: zostaniemy.,Word: we will stay.,"[""we will stay""]",472
zadzwoni,will call,misc,Słowo: zadzwoni.,The word: will call.,"[""will call""]",473
wycofać,retire,verb,Muszę wycofać dzisiaj.,I have to withdraw today.,"[""retire""]",474
adwokata,advocate,misc,Słowo: adwokata.,The word: lawyer.,"[""advocate""]",475
rzadko,rarely,noun,Widzę rzadko tutaj.,I see rarely here.,"[""rarely""]",476
choroba,disease,misc,Słowo: choroba.,The word: disease.,"[""disease""]",477
poczujesz,feel,misc,Słowo: poczujesz.,The word: you will feel.,"[""feel""]",478
byście,would you,noun,Widzę byście tutaj.,I see you would here.,"[""would you""]",479
śpiewać,sing,verb,Lubię śpiewać.,I like to sing.,"[""sing""]",480
wschód,east,misc,Słowo: wschód.,Word: east.,"[""east""]",481
walce,rolls,misc,Słowo: walce.,Word: battles.,"[""rolls""]",482
rozmawia,talks,misc,Słowo: rozmawia.,The word: talks.,"[""talks""]",483
wsparcia,support,misc,Słowo: wsparcia.,Word: support.,"[""support""]",484
jesse,jesse,misc,Słowo: jesse.,Word: jesse.,"[""jesse""]",485
lepszym,better,misc,Słowo: lepszym.,Word: better.,"[""better""]",486
wydział,department,misc,Słowo: wydział.,Word: department.,"[""department""]",487
ukraść,steal,misc,Słowo: ukraść.,The word: steal.,"[""steal""]",488
życzenie,request,noun,To jest życzenie.,This is a wish.,"[""request""]",489
twojemu,your,misc,Słowo: twojemu.,Word: yours.,"[""your""]",490
przestał,stopped,misc,Słowo: przestał.,The word: stopped.,"[""stopped""]",491
wściekły,furious,misc,Słowo: wściekły.,The word: angry.,"[""furious""]",492
zaufanie,trust,noun,To jest zaufanie.,This is confidence.,"[""trust""]",493
casey,casey,misc,Słowo: casey.,Word: casey.,"[""casey""]",494
mięso,meat,misc,Słowo: mięso.,The word: meat.,"[""meat""]",495
kilometrów,kilometers,misc,Słowo: kilometrów.,Word: kilometers.,"[""kilometers""]",496
szeryf,sheriff,misc,Słowo: szeryf.,Word: sheriff.,"[""sheriff""]",497
anioł,angel,misc,Słowo: anioł.,Word: angel.,"[""angel""]",498
prawem,right,misc,Słowo: prawem.,Word: law.,"[""right""]",499
zapomnę,I'll forget,misc,Słowo: zapomnę.,Word: I will forget.,"[""i'll forget""]",500
martwisz,worry,misc,Słowo: martwisz.,Word: worry.,"[""worry""]",501
jednakże,however,misc,Słowo: jednakże.,Word: however.,"[""however""]",502
dupkiem,asshole,misc,Słowo: dupkiem.,Word: asshole.,"[""asshole""]",503
swą,with its,misc,Słowo: swą.,Word: sw.,"[""with its""]",504
przetrwać,survive,verb,Lubię przetrwać.,I like to survive.,"[""survive""]",505
wyłącznie,exclusively,adverb,Mówię wyłącznie po polsku.,I speak exclusively in Polish.,"[""exclusively""]",506
kobiecie,woman,noun,Widzę kobiecie tutaj.,I see a woman here.,"[""woman""]",507
uniknąć,avoid,verb,Muszę uniknąć dzisiaj.,I need to avoid today.,"[""avoid""]",508
dojdzie,will come,misc,Słowo: dojdzie.,Word: it will arrive.,"[""will come""]",509
kłamstwa,lies,adjective,To jest bardzo kłamstwa.,This is very much a lie.,"[""lies""]",510
wart,worth,misc,Słowo: wart.,Word: worth.,"[""worth""]",511
louis,louis,misc,Słowo: louis.,Word: louis.,"[""louis""]",512
cofnij,undo,misc,Słowo: cofnij.,Word: undo.,"[""undo""]",513
któregoś,of which,misc,Słowo: któregoś.,Word: which one.,"[""of which""]",514
typ,type,misc,Słowo: typ.,Word: type.,"[""type""]",515
sukinsynu,succinct,misc,Słowo: sukinsynu.,Word: succinct.,"[""succinct""]",516
warunki,terms and conditions,misc,Słowo: warunki.,Word: conditions.,"[""terms and conditions""]",517
pożegnać,farewell,verb,Lubię pożegnać.,I like to say goodbye.,"[""farewell""]",518
pola,fields,misc,Słowo: pola.,Word: fields.,"[""fields""]",519
przybył,arrived,misc,Słowo: przybył.,The word: arrived.,"[""arrived""]",520
phoebe,phoebe,misc,Słowo: phoebe.,Word: phoebe.,"[""phoebe""]",521
nogami,with your feet,misc,Słowo: nogami.,The word: legs.,"[""with your feet""]",522
meczu,match,misc,Słowo: meczu.,The word: match.,"[""match""]",523
kontrakt,contract,misc,Słowo: kontrakt.,The word: contract.,"[""contract""]",524
jedz,eat,misc,Słowo: jedz.,Word: eat.,"[""eat""]",525
obowiązek,obligation,noun,Widzę obowiązek tutaj.,I see an obligation here.,"[""obligation""]",526
rozmawiałeś,talked,misc,Słowo: rozmawiałeś.,Word: you talked.,"[""talked""]",527
czarna,black,adjective,To jest bardzo czarna.,It is very black.,"[""black""]",528
dokonać,make,verb,Muszę dokonać dzisiaj.,I have to make today.,"[""make""]",529
żołnierze,soldiers,adverb,Mówię żołnierze po polsku.,I say soldiers in Polish.,"[""soldiers""]",530
tytuł,title,misc,Słowo: tytuł.,Word: title.,"[""title""]",531
tajemnica,secret,misc,Słowo: tajemnica.,The word: mystery.,"[""secret""]",532
połączyć,link,verb,Lubię połączyć.,I like to combine.,"[""link""]",533
głosu,voice,misc,Słowo: głosu.,Word: voice.,"[""voice""]",534
prosi,asks,misc,Słowo: prosi.,Word: asks.,"[""asks""]",535
wyżej,above,misc,Słowo: wyżej.,Word: above.,"[""above""]",536
zaskoczony,surprised,adjective,To jest bardzo zaskoczony.,It is very surprised.,"[""surprised""]",537
zabójstwa,murders,adjective,To jest bardzo zabójstwa.,It is very much a killer.,"[""murders""]",538
ross,ross,misc,Słowo: ross.,Word: ross.,"[""ross""]",539
odcinek,episode,noun,To jest odcinek.,This is the episode.,"[""episode""]",540
zapomniał,forgot,misc,Słowo: zapomniał.,Word: forgotten.,"[""forgot""]",541
dziewczyno,girl,misc,Słowo: dziewczyno.,Word: girl.,"[""girl""]",542
granicy,border,misc,Słowo: granicy.,Word: border.,"[""border""]",543
zasada,principle,misc,Słowo: zasada.,Word: principle.,"[""principle""]",544
can,can,misc,Słowo: can.,Word: can.,"[""can""]",545
wyślij,send,misc,Słowo: wyślij.,Word: send.,"[""send""]",546
fred,fred,misc,Słowo: fred.,Word: fred.,"[""fred""]",547
przejdzie,will pass,misc,Słowo: przejdzie.,The word: will pass.,"[""will pass""]",548
idealne,perfect,adjective,To jest bardzo idealne.,This is very ideal.,"[""perfect""]",549
jednocześnie,at the same time,adverb,Mówię jednocześnie po polsku.,I speak Polish at the same time.,"[""at the same time""]",550
powietrzu,air,misc,Słowo: powietrzu.,Word: air.,"[""air""]",551
prosimy,please,misc,Słowo: prosimy.,Word: please.,"[""please""]",552
widzą,see,misc,Słowo: widzą.,Word: they see.,"[""see""]",553
dzieciaku,kid,misc,Słowo: dzieciaku.,Word: kid.,"[""kid""]",554
herbatę,tea,misc,Słowo: herbatę.,The word: tea.,"[""tea""]",555
marzenie,dream,noun,Widzę marzenie tutaj.,I see a dream here.,"[""dream""]",556
głównym,main,misc,Słowo: głównym.,Word: main.,"[""main""]",557
zachowujesz,you keep,misc,Słowo: zachowujesz.,Word: you keep.,"[""you keep""]",558
rozumiecie,you understand,noun,Widzę rozumiecie tutaj.,I see you understand here.,"[""you understand""]",559
rusza,launches,misc,Słowo: rusza.,The word: moves.,"[""launches""]",560
postaram,I will try,misc,Słowo: postaram.,Word: will try.,"[""i will try""]",561
ulubiony,favorite,adjective,To jest bardzo ulubiony.,This is a very favorite.,"[""favorite""]",562
chuja,hide,misc,Słowo: chuja.,Word: hide.,"[""hide""]",563
uwierzysz,would you believe,misc,Słowo: uwierzysz.,Word: you will believe.,"[""would you believe""]",564
zobaczyłam,saw,misc,Słowo: zobaczyłam.,The word: seen.,"[""saw""]",565
dojść,come to,misc,Słowo: dojść.,Word: get there.,"[""come to""]",566
lucas,lucas,misc,Słowo: lucas.,Word: lucas.,"[""lucas""]",567
wayne,wayne,adjective,To jest bardzo wayne.,This is very wayne.,"[""wayne""]",568
przysłał,sent,misc,Słowo: przysłał.,Word: sent.,"[""sent""]",569
zmieniła,changed,misc,Słowo: zmieniła.,The word: changed.,"[""changed""]",570
mówicie,you say,noun,To jest mówicie.,It is said.,"[""you say""]",571
telefonów,phones,misc,Słowo: telefonów.,Word: phones.,"[""phones""]",572
kolega,colleague,misc,Słowo: kolega.,Word: colleague.,"[""colleague""]",573
lekcje,lessons,misc,Słowo: lekcje.,The word: lessons.,"[""lessons""]",574
obóz,camp,misc,Słowo: obóz.,The word: camp.,"[""camp""]",575
andrew,andrew,misc,Słowo: andrew.,Word: andrew.,"[""andrew""]",576
kończyć,wrap up,verb,Muszę kończyć dzisiaj.,I have to finish today.,"[""wrap up""]",577
usunąć,wipe out,verb,Lubię usunąć.,I like to remove.,"[""wipe out""]",578
carol,carol,misc,Słowo: carol.,Word: carol.,"[""carol""]",579
poradzisz,advise,misc,Słowo: poradzisz.,Word: advise.,"[""advise""]",580
ustalić,determine,verb,Lubię ustalić.,I like to establish.,"[""determine""]",581
towarzystwo,company,noun,Widzę towarzystwo tutaj.,I see company here.,"[""company""]",582
tekst,text,misc,Słowo: tekst.,Word: text.,"[""text""]",583
pokazał,showed,misc,Słowo: pokazał.,The word: showed.,"[""showed""]",584
homer,homer,misc,Słowo: homer.,Word: homer.,"[""homer""]",585
gram,gram,misc,Słowo: gram.,Word: gram.,"[""gram""]",586
słodka,sweet,noun,To jest słodka.,This is a sweet one.,"[""sweet""]",587
polu,field,misc,Słowo: polu.,Word: field.,"[""field""]",588
pali,smokes,misc,Słowo: pali.,The word: smokes.,"[""smokes""]",589
wynik,score,misc,Słowo: wynik.,Word: score.,"[""score""]",590
zrozumiałeś,understood,misc,Słowo: zrozumiałeś.,Word: you understood.,"[""understood""]",591
misję,mission,misc,Słowo: misję.,The word: mission.,"[""mission""]",592
koń,horse,misc,Słowo: koń.,Word: horse.,"[""horse""]",593
cudowny,wonderful,adjective,To jest bardzo cudowny.,This is a very wonderful one.,"[""wonderful""]",594
lista,list,misc,Słowo: lista.,Word: list.,"[""list""]",595
zagrożenie,threat,noun,Widzę zagrożenie tutaj.,I see the danger here.,"[""threat""]",596
okulary,glasses,misc,Słowo: okulary.,The word: glasses.,"[""glasses""]",597
przemocy,violence,misc,Słowo: przemocy.,The word: violence.,"[""violence""]",598
zarobić,earn,verb,Muszę zarobić dzisiaj.,I need to make money today.,"[""earn""]",599
donna,donna,adjective,To jest bardzo donna.,It is very donna.,"[""donna""]",600
zjednoczonych,united,misc,Słowo: zjednoczonych.,Word: united.,"[""united""]",601
zwolnić,release,verb,Lubię zwolnić.,I like to slow down.,"[""release""]",602
pomówić,speak,verb,Muszę pomówić dzisiaj.,I have to speak today.,"[""speak""]",603
skończ,finish,misc,Słowo: skończ.,Word: finish.,"[""finish""]",604
cena,price,adjective,To jest bardzo cena.,This is very pricey.,"[""price""]",605
zginęła,died,misc,Słowo: zginęła.,Word: she died.,"[""died""]",606
zasięgu,reach,misc,Słowo: zasięgu.,Word: outreach.,"[""reach""]",607
płaci,pays,misc,Słowo: płaci.,The word: pays.,"[""pays""]",608
bawi,entertains,misc,Słowo: bawi.,The word: entertains.,"[""entertains""]",609
główny,main,adjective,To jest bardzo główny.,This is very main.,"[""main""]",610
przychodzić,come,verb,Muszę przychodzić dzisiaj.,I have to come today.,"[""come""]",611
błędy,errors,misc,Słowo: błędy.,Word: errors.,"[""errors""]",612
drogie,expensive,misc,Słowo: drogie.,Word: expensive.,"[""expensive""]",613
jordan,jordan,misc,Słowo: jordan.,Word: jordan.,"[""jordan""]",614
ostrzec,warn,misc,Słowo: ostrzec.,Word: warn.,"[""warn""]",615
liz,lis,misc,Słowo: liz.,Word: lis.,"[""lis""]",616
firmie,company,misc,Słowo: firmie.,Word: company.,"[""company""]",617
partnera,partner,misc,Słowo: partnera.,Word: partner.,"[""partner""]",618
zamknięty,closed,misc,Słowo: zamknięty.,Word: closed.,"[""closed""]",619
stawiam,I bet,misc,Słowo: stawiam.,Word: bet.,"[""i bet""]",620
przychodzą,come,misc,Słowo: przychodzą.,Word: they are coming.,"[""come""]",621
cierpi,suffers,misc,Słowo: cierpi.,The word: suffers.,"[""suffers""]",622
idiotą,idiot,misc,Słowo: idiotą.,Word: idiot.,"[""idiot""]",623
łazience,bathroom,misc,Słowo: łazience.,Word: bathroom.,"[""bathroom""]",624
bal,ball,misc,Słowo: bal.,The word: ball.,"[""ball""]",625
londynie,london,adverb,Mówię londynie po polsku.,I speak London Polish.,"[""london""]",626
pracowała,worked,misc,Słowo: pracowała.,The word: worked.,"[""worked""]",627
latać,fly,verb,Muszę latać dzisiaj.,I have to fly today.,"[""fly""]",628
sprowadza,brings,misc,Słowo: sprowadza.,The word: brings.,"[""brings""]",629
zaczynaj,start,misc,Słowo: zaczynaj.,Word: get started.,"[""start""]",630
rogu,corner,misc,Słowo: rogu.,Word: corner.,"[""corner""]",631
pojechał,went,misc,Słowo: pojechał.,Word: he went.,"[""went""]",632
żywy,live,adjective,To jest bardzo żywy.,It is very much alive.,"[""live""]",633
użyj,use,misc,Słowo: użyj.,Word: use.,"[""use""]",634
bogaty,rich,misc,Słowo: bogaty.,Word: rich.,"[""rich""]",635
akcja,action,misc,Słowo: akcja.,The word: action.,"[""action""]",636
wychodzisz,you're out,misc,Słowo: wychodzisz.,Word: you're out.,"[""you're out""]",637
house,house,misc,Słowo: house.,Word: house.,"[""house""]",638
zejść,come down,misc,Słowo: zejść.,The word: go down.,"[""come down""]",639
jajka,eggs,noun,To jest jajka.,It's eggs.,"[""eggs""]",640
pokazuje,shows,misc,Słowo: pokazuje.,Word: shows.,"[""shows""]",641
parker,parker,misc,Słowo: parker.,Word: parker.,"[""parker""]",642
wersji,version,misc,Słowo: wersji.,Word: versions.,"[""version""]",643
komputera,computer,misc,Słowo: komputera.,Word: computer.,"[""computer""]",644
bić,beat,verb,Lubię bić.,I like to beat.,"[""beat""]",645
dach,roof,misc,Słowo: dach.,The word: roof.,"[""roof""]",646
komandorze,Commander,adverb,Mówię komandorze po polsku.,I speak Commander Polish.,"[""commander""]",647
odpuść,pardon,misc,Słowo: odpuść.,The word: let go.,"[""pardon""]",648
chcielibyśmy,we would like to,misc,Słowo: chcielibyśmy.,Word: we would like to.,"[""we would like to""]",649
tim,tim,misc,Słowo: tim.,Word: tim.,"[""tim""]",650
silna,strong,adjective,To jest bardzo silna.,It is very strong.,"[""strong""]",651
światem,world,misc,Słowo: światem.,The word: world.,"[""world""]",652
prawnika,lawyer,noun,To jest prawnika.,This is a lawyer.,"[""lawyer""]",653
powoduje,causes,misc,Słowo: powoduje.,Word: causes.,"[""causes""]",654
kółko,wheel,noun,Widzę kółko tutaj.,I see a circle here.,"[""wheel""]",655
wpadłem,dropped by,misc,Słowo: wpadłem.,Word: fell in.,"[""dropped by""]",656
pytał,asked,misc,Słowo: pytał.,Word: he asked.,"[""asked""]",657
kupię,buy,misc,Słowo: kupię.,Word: buy.,"[""buy""]",658
ubranie,clothing,noun,To jest ubranie.,This is clothing.,"[""clothing""]",659
zwierzę,animal,misc,Słowo: zwierzę.,Word: animal.,"[""animal""]",660
partner,partner,misc,Słowo: partner.,Word: partner.,"[""partner""]",661
spotykać,meet,verb,Lubię spotykać.,I like to meet.,"[""meet""]",662
musiałaś,you must have,misc,Słowo: musiałaś.,Word: you had to.,"[""you must have""]",663
straciłam,lost,misc,Słowo: straciłam.,Word: lost.,"[""lost""]",664
prezydencie,president,noun,Widzę prezydencie tutaj.,I see the president here.,"[""president""]",665
poważna,serious,adjective,To jest bardzo poważna.,This is very serious.,"[""serious""]",666
doug,doug,misc,Słowo: doug.,Word: doug.,"[""doug""]",667
naturalnie,naturally,adverb,Mówię naturalnie po polsku.,I speak Polish naturally.,"[""naturally""]",668
zmian,changes,misc,Słowo: zmian.,Word: changes.,"[""changes""]",669
okazuje,shows,misc,Słowo: okazuje.,Word: turns out.,"[""shows""]",670
zamek,castle,noun,To jest zamek.,This is a castle.,"[""castle""]",671
jacka,jacka,noun,To jest jacka.,This is jacka.,"[""jacka""]",672
bani,bani,misc,Słowo: bani.,Word: bani.,"[""bani""]",673
prosiłem,I asked,misc,Słowo: prosiłem.,Word: asked.,"[""i asked""]",674
spóźnienie,delay,noun,Widzę spóźnienie tutaj.,I see the lateness here.,"[""delay""]",675
niebezpieczeństwo,danger,noun,To jest niebezpieczeństwo.,That's the danger.,"[""danger""]",676
piętro,floor,misc,Słowo: piętro.,Word: floor.,"[""floor""]",677
sierżant,sergeant,misc,Słowo: sierżant.,Word: sergeant.,"[""sergeant""]",678
ksiądz,priest,misc,Słowo: ksiądz.,Word: priest.,"[""priest""]",679
przeprosiny,apology,adjective,To jest bardzo przeprosiny.,This is very apologetic.,"[""apology""]",680
bzdura,nonsense,misc,Słowo: bzdura.,Word: nonsense.,"[""nonsense""]",681
ukrywa,hides,adjective,To jest bardzo ukrywa.,It's very concealing.,"[""hides""]",682
karierę,career,misc,Słowo: karierę.,The word: career.,"[""career""]",683
zazdrosny,jealous,adjective,To jest bardzo zazdrosny.,It is very jealous.,"[""jealous""]",684
załóż,set up,misc,Słowo: załóż.,Word: assume.,"[""set up""]",685
man,man,misc,Słowo: man.,Word: man.,"[""man""]",686
zaczną,start,misc,Słowo: zaczną.,Word: they will start.,"[""start""]",687
pierścionek,ring,noun,Widzę pierścionek tutaj.,I see the ring here.,"[""ring""]",688
okręt,ship,misc,Słowo: okręt.,The word: ship.,"[""ship""]",689
płacą,pay,misc,Słowo: płacą.,The word: they pay.,"[""pay""]",690
specjalne,special,adjective,To jest bardzo specjalne.,This is very special.,"[""special""]",691
żal,regret,misc,Słowo: żal.,The word: regret.,"[""regret""]",692
lekarstwo,cure,noun,To jest lekarstwo.,This is the cure.,"[""cure""]",693
napewno,surely,misc,Słowo: napewno.,Word: sure.,"[""surely""]",694
próbując,trying,misc,Słowo: próbując.,Word: trying.,"[""trying""]",695
odbiło,reflected,misc,Słowo: odbiło.,The word: bounced.,"[""reflected""]",696
