polish,english,category,subtext,accepted_answers,frequency_rank
zgadza,agrees,misc,,"[""agrees""]",649
zobaczenia,see you,noun,,"[""see you""]",651
skarbie,treasure,misc,,"[""treasure""]",654
najbardziej,most,misc,,"[""most""]",655
końca,end of,misc,,"[""end of""]",656
głowy,heads,adjective,,"[""heads""]",657
wieczór,evening,misc,(also: wieczorem),"[""evening"",""wieczór"",""wieczor"",""wieczorem""]",659
kiedykolwiek,ever,misc,,"[""ever""]",660
dolarów,dollars,misc,,"[""dollars""]",662
część,part of,misc,,"[""part of""]",664
strony,websites,adjective,,"[""websites""]",665
brat,brother,misc,,"[""brother""]",666
zły,bad,misc,,"[""bad""]",667
cztery,four,misc,,"[""four""]",672
twarz,face,misc,,"[""face""]",675
policja,police,misc,,"[""police""]",676
gotowy,ready,adjective,,"[""ready""]",679
uda,thighs,misc,,"[""thighs""]",680
obchodzi,celebrates,misc,,"[""celebrates""]",681
blisko,close to,misc,,"[""close to""]",682
temat,topic,misc,,"[""topic""]",683
daleko,far,misc,,"[""far""]",684
taa,taa,misc,,"[""taa""]",685
potrzebujesz,you need,misc,,"[""you need""]",687
okay,okay,misc,,"[""okay""]",689
miasta,cities,misc,,"[""cities""]",690
chłopaki,guys,misc,,"[""guys""]",692
środku,middle,misc,,"[""middle""]",695
powiedziałam,I said,misc,,"[""i said""]",696
dobranoc,goodnight,misc,,"[""goodnight""]",699
